Title,Link,Published,Summary,Training_summary
"2024 MG Astor launched at Rs 9.98 lakh: New variant, features",https://timesofindia.indiatimes.com/auto/cars/2024-mg-astor-launched-at-rs-9-98-lakh-gets-new-variant-and-features/articleshow/106757868.cms,"Fri, 12 Jan 2024 14:21:58 +0530","As mentioned previously, the Astor remains mechanically unchanged. It gets two petrol engine options - a 1.5-litre NA Petrol engine which puts out 110hp of power and 144Nm of torque. Another engine is the 1.3-litre turbo petrol which puts out 140hp of power 220Nm of torque. The NA engine gets a 5-speed manual or a CVT automatic, the turbo petrol gets a 6-speed torque converter automatic.","2024 MG Astor launched at Rs 9.98 lakh: New variant, features 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
Bharat Jodo Nyay Yatra to begin from private ground in Manipur,https://timesofindia.indiatimes.com/india/bharat-jodo-nyay-yatra-to-begin-from-private-ground-in-manipurs-thoubal/articleshow/106759255.cms,"Fri, 12 Jan 2024 14:13:58 +0530","The Congress on Friday said that the Rahul Gandhi-led Bharat Jodo Nyay Yatra will be flagged off from a private ground in Manipur's Thoubal district on January 14, instead of state capital Imphal. Congress's Manipur president Keisham Meghachandra said that permission was sought to begin the Yatra from the Hapta Kangjeibung ground in Imphal but the state government gave the go-ahead with certain conditions, forcing to move the venue around 34 km at the last moment.","Bharat Jodo Nyay Yatra to begin from private ground in Manipur 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
EaseMyTrip shares hit a high amidst India-Maldives row; should you buy?,https://timesofindia.indiatimes.com/business/india-business/easemytrip-hits-a-patriotic-high-easy-trip-planners-shares-surge-amidst-india-maldives-row-but-should-you-buy/articleshow/106754159.cms,"Fri, 12 Jan 2024 12:47:17 +0530","Easy Trip Planners, the parent company of online travel tour operator easemytrip.com, has seen a significant surge in its stock price after announcing the suspension of flights to Maldives. The decision has attracted the attention of traders on Dalal Street who are looking for new investment opportunities.","EaseMyTrip shares hit a high amidst India-Maldives row; should you buy? 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
Ram temple: PM to lead ascetic life ahead of 'pran pratishtha',https://timesofindia.indiatimes.com/india/ram-temple-in-ayodhya-pm-modi-to-lead-life-of-an-ascetic-for-11-days-ahead-of-pran-pratishtha-ceremony/articleshow/106750214.cms,"Fri, 12 Jan 2024 11:19:24 +0530","With 11 days, an auspicious number in Hindu belief, left for the 'Pran Pratishta' ceremony at Ram Temple in Ayodhya, PM Narendra Modi, who will be leading the performance of the rituals, has started an 11-day-long rigorous fasting which includes “Yam Niyam”, with regular prayers, penance and Yoga. PM Modi, in a message on Friday, told the nation about following these rituals prescribed in the scriptures before performing the 'Pran Pratistha' of the Ram Lalla on January 22.","Ram temple: PM to lead ascetic life ahead of 'pran pratishtha' 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
"Katrina, Vijay elevated writing with performance: Raghavan",https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/both-katrina-kaif-and-vijay-sethupathi-have-elevated-the-writing-with-their-performances-in-merry-christmas-sriram-raghavan-exclusive/articleshow/106760089.cms,"Fri, 12 Jan 2024 14:40:07 +0530","""I wanted the story to have a dream-like quality. In my mind, I tried various conventional pairings, but some X factor seemed to be missing. Most of the stars had already worked with each other. Since the story is about two strangers meeting on Christmas eve, I wanted an out of the box pairing. Katrina is a glamorous star and Vijay is known for his rooted characters. The opposites attracted me""","Katrina, Vijay elevated writing with performance: Raghavan 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
State can’t control true love between 2 adolescents: Delhi HC,https://timesofindia.indiatimes.com/city/delhi/delhi-high-court-state-cannot-control-true-love-between-adolescents/articleshow/106744710.cms,"Fri, 12 Jan 2024 08:13:24 +0530","Delhi High Court ends criminal proceedings against a man who eloped with a minor girl nine years ago, quashing a kidnapping and rape case. The court states that true love between minors cannot be controlled through state action and that the couple, now married with children, should not be further penalized.","State can’t control true love between 2 adolescents: Delhi HC 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
"Two Apple board members set to retire, Wanda Austin nominated",https://timesofindia.indiatimes.com/gadgets-news/two-prominent-apple-board-members-set-to-retire-wanda-austin-nominated/articleshow/106748892.cms,"Fri, 12 Jan 2024 10:19:07 +0530","Al Gore and James Bell, who have served on Apple's board since 2003 and 2015 respectively, will retire this year due to the company's policy of directors not standing for reelection after reaching age 75. Apple CEO Tim Cook expressed gratitude for their contributions. Meanwhile, Dr.","Two Apple board members set to retire, Wanda Austin nominated 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
Bigg Boss 17: Abhishek Kumar breaks down in tears as his mother enters,https://timesofindia.indiatimes.com/tv/news/hindi/bigg-boss-17-abhishek-kumar-breaks-down-in-tears-as-his-mother-enters-latter-confronts-isha-humne-kab-aapke-saamne-abhishek-ko-thappad-mara-tha-ya-tv-toda-tha/articleshow/106757564.cms,"Fri, 12 Jan 2024 13:44:25 +0530","Abhishek's mother confronts Isha in the therapy room. Arun and Ankita support Abhishek as a fight breaks out. Abhishek's mother enters the house and hugs him tightly. Isha and Samarth poke Abhishek, but he requests them to stop. Munawar's sister and Ayesha's brother also enter the house.  With the remaining contestants still living in the house. During the family week, each contestant had the opportunity to spend time with their loved ones. Abhishek's mother also entered the house, and upon seeing her, Abhishek burst into tears. Munawar also became emotional and cried.","Bigg Boss 17: Abhishek Kumar breaks down in tears as his mother enters 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
"Who was Abdul Salam Bhuttavi, planner of 2008 Mumbai attacks",https://timesofindia.indiatimes.com/world/pakistan/who-was-abdul-salam-bhuttavi-hafiz-saeeds-deputy-and-key-planner-of-mumbai-terror-attacks/articleshow/106750922.cms,"Fri, 12 Jan 2024 11:33:23 +0530","Abdul Salam Bhuttavi, founding member of Lashkar-e-Taiba (LeT) and deputy head of Jamaat-ud-Dawa (JuD), passed away in a Pakistani jail. Born in 1945, Bhuttavi played a crucial role in planning and executing terrorist attacks, including the 2008 Mumbai attacks. Designated a terrorist by the UN Security Council in 2012, he was arrested in 2019 under FATF pressure. Bhuttavi, sentenced to 78 years in 2020, died of a heart attack. His death marks the end of a significant figure associated with LeT and JuD, posing a threat to regional security.","Who was Abdul Salam Bhuttavi, planner of 2008 Mumbai attacks 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
"Gang-raped for interfaith affair, K'taka woman tells court",https://timesofindia.indiatimes.com/city/bengaluru/gang-raped-for-interfaith-affair-karnataka-woman-tells-court/articleshow/106740470.cms,"Fri, 12 Jan 2024 02:43:48 +0530",,"Gang-raped for interfaith affair, K'taka woman tells court 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
Infy shares jump 7.6% after Q3 results; what analysts recommend?,https://timesofindia.indiatimes.com/business/india-business/infosys-shares-jump-7-6-after-q3-results-what-do-analysts-recommend/articleshow/106753877.cms,"Fri, 12 Jan 2024 12:21:18 +0530","Infosys shares surge by 7.6% on positive Q3 results, revised revenue growth guidance, and lower-than-expected impact of wage hike. Financial analysts offer insights with adjusted EPS estimates and target prices ranging from Rs 1,500 to Rs 1,850, highlighting growth acceleration, strong deal pipeline, and recovery in discretionary spending.","Infy shares jump 7.6% after Q3 results; what analysts recommend? 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
'Unhone mana kar diya...': Axar's unusual request to umpire,https://timesofindia.indiatimes.com/sports/cricket/news/unhone-mana-kar-diya-axar-patels-unusual-request-to-umpire-highlights-chilly-conditions-in-mohali/articleshow/106754432.cms,"Fri, 12 Jan 2024 12:47:04 +0530","India's spinner Axar Patel requested to wear a glove on one hand while bowling in the first match of the three-match T20I series against Afghanistan, due the extreme cold conditions in Mohali. The umpire declined the request, leaving left-arm spinner Patel to continue without the added protection. Despite the cold conditions, Patel performed well, taking two wickets and conceding 23 runs in four overs. He later explained why he asked for the gloves to the umpire.","'Unhone mana kar diya...': Axar's unusual request to umpire 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
'All 4 Shankaracharyas to miss Ram temple event',https://timesofindia.indiatimes.com/india/all-4-shankaracharyas-to-miss-ram-temple-event-two-support-ceremony/articleshow/106740703.cms,"Fri, 12 Jan 2024 03:03:47 +0530",,"'All 4 Shankaracharyas to miss Ram temple event' 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
New Zealand's Mitchell Santner tests positive for Covid,https://timesofindia.indiatimes.com/sports/cricket/news/mitchell-santner-tests-positive-for-covid-19-to-miss-first-t20i-against-pakistan/articleshow/106750620.cms,"Fri, 12 Jan 2024 11:45:21 +0530","Mitchell Santner, an all-rounder for the New Zealand cricket team, has tested positive for COVID-19 and will miss the first T20I of the upcoming five-match series against Pakistan. The announcement was made on X, stating that Santner will be monitored over the coming days and will travel solo home to Hamilton. The opening match of the series is scheduled for Friday at Auckland's Eden Park.","New Zealand's Mitchell Santner tests positive for Covid 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
'He can achieve...': Clive on Virat surpassing Sachin's record,https://timesofindia.indiatimes.com/sports/cricket/news/he-can-achieve-anything-clive-lloyd-on-virat-kohli-surpassing-sachin-tendulkars-100-centuries-record/articleshow/106748617.cms,"Fri, 12 Jan 2024 10:18:35 +0530","Former West Indies captain Clive Lloyd has expressed confidence in Virat Kohli's potential to surpass Sachin Tendulkar's 100 international centuries record. Lloyd praised Kohli's current form and said he is young enough to achieve anything he sets his mind to. He also advocated for a balanced cricketing calendar, emphasizing Test cricket, and preferred more long-format matches, including three and five-match Test series, over shorter two-match series. Lloyd expressed his preference for more long-format matches in cricket.","'He can achieve...': Clive on Virat surpassing Sachin's record 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
Uddhav's MLAs to toe Shinde line or face action: Speaker,https://timesofindia.indiatimes.com/city/mumbai/uddhavs-mlas-to-toe-shinde-line-or-face-action-speaker/articleshow/106742947.cms,"Fri, 12 Jan 2024 05:07:51 +0530",,"Uddhav's MLAs to toe Shinde line or face action: Speaker 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
VHP spokesperson cheers removal of 'Annapoorani' from OTT,https://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/we-are-happy-that-nayantharas-annapoorani-has-been-pulled-down-from-ott-vhp-spokesperson-sriraj-nair-exclusive/articleshow/106735340.cms,"Thu, 11 Jan 2024 19:11:15 +0530","Nayanthara's film 'Annapoorani' faced backlash for allegedly hurting religious sentiments. Complaints were filed by Hindu IT Cell founder Ramesh Solanki and Vishwa Hindu Parishad (VHP). The film was taken down from an OTT platform. VHP objected to scenes involving the portrayal of Bhagwan Ram, consumption of non-vegetarian food, and promoting love jihad. The movie's creators apologized, while Nayanthara's fans question the criticism as it is approved by CBFC.","VHP spokesperson cheers removal of 'Annapoorani' from OTT 0                                                       
1                                                       
2      Stock market today: Indian benchmark indices, ...
3      Shivam Dube marked his impactful comeback to t...
4      India's proactive approach to data security an...
                             ...                        
757    Students Sue Harvard, Calling It a ‘Bastion’ o...
758    U.S. Criminally Charges EBay in Cyberstalking ...
759    Grand Jury Declines to Indict Ohio Woman Who M...
760          ‘Cooking With Lynja’ TikTok Star Dies at 67
761           An Oatmeal Cookie Recipe for Raisin Haters
Name: Summary, Length: 762, dtype: object"
